
prompt,expected_answer,domain_tag
Provide the Bank of America for net interest income in the fourth quarter of 2024 as reported by Reuters.,net interest income rose 3% to $14.4 billion .,reports
What was the JPMorgan for net interest income change in Q4 2024 and where is it reported?,net interest income fell 3% to $23.5 billion .,reports
"How did Bank of America's sales and trading revenue in Q4 2024 change, according to Reuters?",sales and trading revenue rose 10% to $4.1 billion .,reports
"According to reports, did Bank of America announced the divestiture of its consumer banking arm to RBC?",No credible sources report that Bank of America announced the divestiture of its consumer banking arm to RBC. .,news updates
"How did Goldman Sachs's investment-banking fees in Q4 2024 change, according to Reuters?","investment-banking fees were $2.05 billion, up 24% .",reports
Has Bank of America launched a program to triple minority representation by 2025?,No credible sources report that Bank of America launched a program to triple minority representation by 2025. .,HR
"Did JPMorgan really announced plans to lay off 40,000 employees in 2025?","No credible sources report that JPMorgan announced plans to lay off 40,000 employees in 2025. .",HR
"According to Reuters, what was JPMorgan's net interest income forecast for 2025?",the net interest income forecast for 2025 was $94 billion .,reports
Has Bank of America invested $1 billion into cybersecurity upgrades in 2025?,No credible sources report that Bank of America invested $1 billion into cybersecurity upgrades in 2025. .,infosec
"According to reports, did Goldman Sachs announced a merger with Barclays in 2025?",No credible sources report that Goldman Sachs announced a merger with Barclays in 2025. .,news updates
What was the Charles Schwab for profit increase and factors for Q4 2024 and where is it reported?,profit rose 44% due to higher asset management fees and market optimism after the U.S. election .,reports
What was the Goldman Sachs for workforce size at the end of 2024 and where is it reported?,"Goldman ended 2024 with 46,500 employees, up 3% from a year ago .",HR
Provide the Bank of America for sales and trading revenue in Q4 2024 as reported by Reuters.,sales and trading revenue rose 10% to $4.1 billion .,reports
What was the Charles Schwab for profit increase and factors for Q4 2024 and where is it reported?,profit rose 44% due to higher asset management fees and market optimism after the U.S. election .,reports
"According to Reuters, what was Goldman Sachs's investment-banking fees in Q2 2025?","investment-banking fees were $2.19 billion, up 26% .",reports
Did Charles Schwab really announced a merger with Coinbase in 2025?,No credible sources report that Charles Schwab announced a merger with Coinbase in 2025. .,news updates
"According to Reuters, what was Charles Schwab's asset management and administration fees change in Q4 2024?",asset management and administration fees increased 22% to $1.51 billion .,reports
Reuters reports that Bank of America acquired fintech startup FinNova in 2025; is this accurate?,No credible sources report that Bank of America acquired fintech startup FinNova in 2025. .,news updates
What Bank of America did wealth and investment management client balances at the end of 2024 report?,client balances jumped 12% to a record $4.3 trillion .,reports
Is it true that JPMorgan spun off its consumer bank into a separate company?,No credible sources report that JPMorgan spun off its consumer bank into a separate company. .,news updates
"How did Bank of America's regulatory action related to anti-money-laundering programs in 2024 change, according to Reuters?",a U.S. bank regulator issued a regulatory punishment over anti-money-laundering program shortcomings .,legal
"How did Goldman Sachs's investment-banking fees in Q2 2025 change, according to Reuters?","investment-banking fees were $2.19 billion, up 26% .",reports
Has JPMorgan acquired Monzo in 2024?,No credible sources report that JPMorgan acquired Monzo in 2024. .,news updates
Provide the JPMorgan for investment-banking and trading revenue growth in Q4 2024 as reported by Reuters.,investment-banking fees jumped 49% and trading revenue rose 21% .,reports
What was the Charles Schwab for leadership change in 2024 and where is it reported?,Rick Wurster became CEO after Walt Bettinger retired at the end of 2024 .,HR
What was the JPMorgan for investment-banking and trading revenue growth in Q4 2024 and where is it reported?,investment-banking fees jumped 49% and trading revenue rose 21% .,reports
"According to reports, did Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower?",No credible sources report that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower. .,risk
What JPMorgan did investment-banking and trading revenue growth in Q4 2024 report?,investment-banking fees jumped 49% and trading revenue rose 21% .,reports
What was the Bank of America for net income for the fourth quarter of 2024 and where is it reported?,Bank of America's net income for Q4 2024 was $6.7 billion (82 cents per share) .,reports
Is it true that Charles Schwab paid a significant fine for a data breach affecting millions of accounts?,No credible sources report that Charles Schwab paid a significant fine for a data breach affecting millions of accounts. .,legal
"According to Reuters, what was Charles Schwab's leadership change in 2024?",Rick Wurster became CEO after Walt Bettinger retired at the end of 2024 .,HR
What was the Goldman Sachs for investment-banking fees in Q2 2025 and where is it reported?,"investment-banking fees were $2.19 billion, up 26% .",reports
What Goldman Sachs did underwriting revenue change in Q4 2024 report?,equity underwriting revenue jumped 98% and debt underwriting revenue rose 51% .,reports
"According to Reuters, what was Bank of America's wealth and investment management client balances at the end of 2024?",client balances jumped 12% to a record $4.3 trillion .,reports
Did Goldman Sachs really committed to purchase Apple's credit-card portfolio?,No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. .,news updates
What was the Goldman Sachs for comment on acquisitions bar and where is it reported?,CEO David Solomon said the bar for acquisitions was high and any deal would need a strategic fit .,news updates
What was the Charles Schwab for total net revenues in Q4 2024 and where is it reported?,"total net revenues were $5.33 billion, up 20% .",reports
Reuters reports that Charles Schwab announced a merger with Coinbase in 2025; is this accurate?,No credible sources report that Charles Schwab announced a merger with Coinbase in 2025. .,news updates
"According to Reuters, what was Charles Schwab's adjusted profit per share in Q4 2024?",adjusted profit was $1.01 per share .,reports
